symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,lastUpdateTime,perChange365d,date365dAgo,date30dAgo,perChange30d
NIFTY 50,NIFTY 50,23960.7,24065.8,23537.35,23587.5,23951.7,-364.2000000000007,-1.52,26277.35,21137.2,20-Dec-2024 16:00:00,13.25,20-Dec-2023,19-Nov-2024,1.84
DRREDDY,DRREDDYEQN,1326.0,1368.7,1317.4,1345.3,1325.6,19.7,1.49,1421.49,1094.24,20-Dec-2024 15:59:59,-76.24,20-Dec-2023,19-Nov-2024,9.24
JSWSTEEL,JSWSTEELEQN,926.0,941.7,912.05,931.45,925.95,5.5,0.59,1063.0,761.75,20-Dec-2024 15:59:51,9.94,20-Dec-2023,19-Nov-2024,-2.25
ICICIBANK,ICICIBANKEQN,1283.95,1297.75,1272.4,1292.0,1286.9,5.1,0.4,1362.35,970.15,20-Dec-2024 15:59:59,27.84,20-Dec-2023,19-Nov-2024,3.03
NESTLEIND,NESTLEINDEQN,2160.0,2175.0,2145.4,2165.0,2160.4,4.6,0.21,2778.0,2145.4,20-Dec-2024 15:58:56,-91.39,20-Dec-2023,19-Nov-2024,-2.43
HDFCLIFE,HDFCLIFEEQN,619.7,626.5,618.2,623.75,623.55,0.2,0.03,761.2,511.4,20-Dec-2024 15:56:22,-3.19,20-Dec-2023,19-Nov-2024,-8.36
ITC,ITCEQN,466.5,467.45,459.3,465.65,466.55,-0.9,-0.19,528.5,399.35,20-Dec-2024 15:59:57,3.45,20-Dec-2023,19-Nov-2024,-0.17
SBILIFE,SBILIFEEQN,1402.45,1414.8,1391.1,1401.0,1405.9,-4.9,-0.35,1936.0,1307.7,20-Dec-2024 15:59:36,-0.24,20-Dec-2023,19-Nov-2024,-7.68
TITAN,TITANEQN,3350.0,3419.0,3333.15,3344.9,3356.85,-11.95,-0.36,3886.95,3055.65,20-Dec-2024 15:58:47,-5.55,20-Dec-2023,19-Nov-2024,4.1
ASIANPAINT,ASIANPAINTEQN,2297.0,2318.0,2276.0,2280.0,2291.85,-11.85,-0.52,3422.95,2265.35,20-Dec-2024 15:59:35,-30.49,20-Dec-2023,19-Nov-2024,-7.72
